ano;processo;coordenador;modalidade;chamada_num;chamada_desc;grupochamada;linha;titulo;area;camaraavaliacao;valorcontratado;instituicaoexecutora_sigla;instituicaoexecutora_nome;instituicaogestora_sigla;instituicaogestora_nome;data_inicio;data_termino;datadisponibilizacao
2007;ACN-00014-07;MARCIA PARANHO VELOSO;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;MANUTENÇÃO DO NÚCLEO DE INOVAÇÃO E PROPRIEDADE INTELECTUAL DA UNIVERSIDADE FEDERAL DE ALFENAS - NIPI/UNIFAL-MG;DIREITO ;;41793,35;UNIFAL;UNIVERSIDADE FEDERAL DE ALFENAS;FACEPE;FUNDAÇÃO DE APOIO À CULTURA, ENSINO, PESQUISA E EXTENSÃO DE ALFENAS;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00030-07;DARIO ALVES DE OLIVEIRA;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;ESTRUTURAÇÃO E MANUTENÇÃO DO NÚCLEO DE PROPRIEDADE INTELECTUAL E INOVAÇÃO TECNOLÓGICA DA UNIVERSIDADE ESTADUAL DE MONTES CLAROS;DIREITO ;;46301,36;UNIMONTES;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;FADENOR;FUNDAÇÃO DE APOIO AO DESENVOLVIMENTO DO ENSINO SUPERIOR DO NORTE DE MINAS;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00041-07;ANDRÉ BARROS COTA;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;ESTRUTURAÇÃO E MANUTENÇÃO DO SERVIÇO DE APOIO À PROPRIEDADE INTELECTUAL DA UNIVERSIDADE FEDERAL DE OURO PRETO;DIREITO ;;57068,92;UFOP;UNIVERSIDADE FEDERAL DE OURO PRETO;FEOP;FUNDAÇÃO EDUCATIVA DE RÁDIO E TELEVISÃO OURO PRETO;2010-02-25 00:00:00;2011-02-25;2026-06-01
2007;ACN-00054-07;SONIA APARECIDA GOULART DE OLIVEIRA;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;MANUTENÇÃO E FORTALECIMENTO DO NÚCLEO DE INOVAÇÃO TECNOLÓGICA DA UNIVERSIDADE FEDERAL DE UBERLÂNDIA- AGÊNCIA INTELECTO;DIREITO ;;84612,56;UFU;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;FAU;FUNDAÇÃO DE APOIO UNIVERSITÁRIO;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00057-07;PAULO SHIGUEME IDE;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;PROJETO DE ESTRUTURAÇÃO E FORTALECIMENTO DO NITTE - NÚCLEO DE INOVAÇÃO, TRANSFERÊNCIA DE TECNOLOGIA E EMPREENDEDORISMO;ENGENHARIA ELÉTRICA;;26038,68;UNIFEI;UNIVERSIDADE FEDERAL DE ITAJUBÁ;FAPEPE;FUNDAÇÃO DE APOIO AO ENSINO, PESQUISA E EXTENSÃO DE ITAJUBÁ;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00068-07;JOSE ROBERTO SOARES SCOLFORO;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;APOIO À MANUTENÇÃO DO NÚCLEO DE INOVAÇÃO TECNÓLÓGICA E DE PROTEÇÃO AO CONHECIMENTO DA UFLA - NINTEC;DIREITO ;;88996,0;UFLA;UNIVERSIDADE FEDERAL DE LAVRAS;FUNDECC;FUNDAÇÃO DE DESENVOLVIMENTO CIENTÍFICO E CULTURAL;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00073-07;THAIS VIANA DE FREITAS;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;ESTRUTURAÇÃO PARA A MANUTENÇÃO DO NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO NA FUNDAÇÃO EZEQUIEL DIAS - ANO III;DIREITO ;;82622,0;FUNED;FUNDAÇÃO EZEQUIEL DIAS;FUNARBE;FUNDAÇÃO ARTHUR BERNARDES;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00085-07;ANDRÉ LUÍS MARQUES MARCATO;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;MANUTENÇÃO E DESENVOLVIMENTO DO NÚCLEO DE INOVAÇÃO TECNOLÓGICA DA UFJF;DIREITO ;;52484,64;UFJF;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;FADEPE;FUNDAÇÃO DE APOIO E DESENVOLVIMENTO AO ENSINO, PESQUISA E EXTENSÃO;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00091-07;MARCELO JOSÉ DE REZENDE ALVES;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E PROTEÇÃO AO CONHECIMENTO;AGRONOMIA;;90067,56;EPAMIG;EMPRESA DE PESQUISA AGROPECUÁRIA DE MINAS GERAIS;FUNDECIT;FUNDAÇÃO DE AUXÍLIO À INVESTIGAÇÃO E AO DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO SUSTENTADO;2010-02-25 00:00:00;2012-02-25;2026-06-01
2007;ACN-00094-07;ELISÂNGELA DIAS MENEZES;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NUCLEO DE INOVA;#08/2007;APOIO À CRIAÇÃO E/OU MANUTENÇÃO DE NÚCLEO DE INOVAÇÃO TECNOLÓGICA E DE PROTEÇÃO AO CONHECIMENTO;NIT - PROGRAMA DE APOIO A NÚCLEOS DE INOVAÇÃO TECNOLÓGICA;INOVAÇÃO;NÚCLEO PERMANENTE DE PROPRIEDADE INTELECTUAL;MICROBIOLOGIA;;44988,2;FUNDAC-BH;FUNDAÇÃO CULTURAL DE BELO HORIZONTE-UNI-BH;FUNDEP;FUNDAÇÃO DE DESENVOLVIMENTO DA PESQUISA;2010-02-25 00:00:00;2012-02-25;2026-06-01
